ptMin,ptMax,tag,run,nDATA,nDATATag,nMCb,nMCbTag,nMCc,nMCcTag,nMCl,nMClTag,pb,pbTag,frb,frbTag,frc,frcTag,frl,frlTag,chi2,chi2Tag,effMC,effData,SF,effMCErr,effDataErr,SFErr,pbErr,pbTagErr,pc,pcErr,pcTag,pcTagErr,pl,plErr,plTag,plTagErr,ndof,ndofTag,p4,p4Err,p4Tag,p4ErrTag,p5,p5Err,p5Tag,p5ErrTag,nMC4,nMC4Tag,nMC5,nMC5Tag
200,350,DoubleBM2,723,23812.000000,12600.000000,8.194026,5.855934,0.426028,0.091072,4.069403,0.905017,1763.771118,1643.755005,0.606937,0.763946,0.035790,0.018491,0.341864,0.183752,1.346312,1.615968,0.714659,0.666030,0.931955,0.008756,0.149922,0.210091,84.374596,361.553223,2000.406616,279.221710,2558.261230,1452.482056,2000.406616,279.221710,2558.261230,1452.482056,12,15,216.092880,628.498413,2558.261230,1452.482056,216.092880,628.498413,2558.261230,1452.482056,0.463190,0.045503,0.775712,0.007764
200,350,DoubleBM2,724,23812.000000,12600.000000,8.194026,5.855934,0.426028,0.091072,4.069403,0.905017,1767.774414,1578.299561,0.608315,0.733525,0.036832,0.021918,0.351817,0.217804,2.764017,2.332036,0.714659,0.638060,0.892817,0.008756,0.096789,0.135875,67.428223,231.724548,2058.649170,125.062248,3032.349365,816.533508,2058.649170,125.062248,3032.349365,816.533508,12,15,0.017096,621.048218,3032.349365,816.533508,0.017096,621.048218,3032.349365,816.533508,0.463190,0.045503,0.775712,0.007764
200,350,DoubleBM2,725,23812.000000,12600.000000,8.194026,5.855934,0.426028,0.091072,4.069403,0.905017,1792.362915,1644.284790,0.616776,0.764192,0.031810,0.019285,0.303852,0.191645,2.646881,2.649702,0.714659,0.655617,0.917384,0.008756,0.039558,0.056483,72.978943,73.217773,1777.979492,211.267365,2668.158936,323.130798,1777.979492,211.267365,2668.158936,323.130798,12,15,835.901489,474.868408,2668.158936,323.130798,835.901489,474.868408,2668.158936,323.130798,0.463190,0.045503,0.775712,0.007764
200,350,DoubleBM2,726,23812.000000,12600.000000,8.194026,5.855934,0.426028,0.091072,4.069403,0.905017,1728.931763,1484.922729,0.594948,0.690128,0.038259,0.025435,0.365444,0.252756,2.848704,2.420070,0.714659,0.613797,0.858867,0.008756,0.042113,0.059860,66.544518,84.341690,2138.388672,123.583519,3518.973633,430.460785,2138.388672,123.583519,3518.973633,430.460785,12,15,0.017096,337.740784,3518.973633,430.460785,0.017096,337.740784,3518.973633,430.460785,0.463190,0.045503,0.775712,0.007764
200,350,DoubleBM2,727,23812.000000,12600.000000,8.194026,5.855934,0.426028,0.091072,4.069403,0.905017,1825.572388,1558.274170,0.628204,0.724218,0.035019,0.022407,0.334501,0.222667,1.826556,3.199064,0.714659,0.610019,0.853581,0.008756,0.043777,0.062143,64.232727,97.464394,1957.323242,116.383308,3100.059326,500.940674,1957.323242,116.383308,3100.059326,500.940674,12,15,0.017096,272.223053,3100.059326,500.940674,0.017096,272.223053,3100.059326,500.940674,0.463190,0.045503,0.775712,0.007764
200,350,DoubleBM2,728,23812.000000,12600.000000,8.194026,5.855934,0.426028,0.091072,4.069403,0.905017,1828.385254,1661.775513,0.629172,0.772321,0.035146,0.018809,0.335714,0.186916,1.546155,1.627451,0.714659,0.649536,0.908876,0.008756,0.036688,0.052530,64.457932,73.334023,1964.421631,119.049843,2602.319580,312.945526,1964.421631,119.049843,2602.319580,312.945526,12,15,0.017096,1862.424927,2602.319580,312.945526,0.017096,1862.424927,2602.319580,312.945526,0.463190,0.045503,0.775712,0.007764
200,350,DoubleBM2,729,23812.000000,12600.000000,8.194026,5.855934,0.426028,0.091072,4.069403,0.905017,1816.693237,1561.561523,0.625148,0.725746,0.035588,0.022731,0.339932,0.225886,1.297691,1.759476,0.714659,0.614294,0.859562,0.008756,0.043500,0.061773,69.995125,92.779381,1989.100464,128.414047,3144.875977,472.896240,1989.100464,128.414047,3144.875977,472.896240,12,15,0.017096,795.262268,3144.875977,472.896240,0.017096,795.262268,3144.875977,472.896240,0.463190,0.045503,0.775712,0.007764
200,350,DoubleBM2,730,23812.000000,12600.000000,8.194026,5.855934,0.426028,0.091072,4.069403,0.905017,1799.674072,1619.951904,0.619292,0.752883,0.036281,0.020922,0.346558,0.207910,1.285071,2.422647,0.714659,0.643290,0.900136,0.008756,0.042072,0.059894,67.972389,86.493584,2027.875488,123.668289,2894.600342,445.183502,2027.875488,123.668289,2894.600342,445.183502,12,15,0.017096,1419.015137,2894.600342,445.183502,0.017096,1419.015137,2894.600342,445.183502,0.463190,0.045503,0.775712,0.007764
200,350,DoubleBM2,731,23812.000000,12600.000000,8.194026,5.855934,0.426028,0.091072,4.069403,0.905017,1820.236938,1656.380249,0.626368,0.769814,0.031960,0.019519,0.305277,0.193972,0.729696,1.107146,0.714659,0.650326,0.909980,0.008756,0.043668,0.062112,79.041748,84.833939,1786.318481,259.737152,2700.551514,428.547394,1786.318481,259.737152,2700.551514,428.547394,12,15,704.970886,635.522461,2700.551514,428.547394,704.970886,635.522461,2700.551514,428.547394,0.463190,0.045503,0.775712,0.007764
200,350,DoubleBM2,732,23812.000000,12600.000000,8.194026,5.855934,0.426028,0.091072,4.069403,0.905017,1843.373535,1641.615234,0.634329,0.762952,0.030664,0.019517,0.292902,0.193946,0.950784,1.974496,0.714659,0.636439,0.890549,0.008756,0.047221,0.066970,87.432014,93.663483,1713.909546,275.682343,2700.190918,476.640350,1713.909546,275.682343,2700.190918,476.640350,12,15,782.438599,676.324158,2700.190918,476.640350,782.438599,676.324158,2700.190918,476.640350,0.463190,0.045503,0.775712,0.007764
